시군명,업체명,소재지도로명주소,소재지지번주소,업종명,위도,경도,데이터기준일
평택시,한국사쿠라노미야화학㈜,경기도 평택시 포승읍 포승공단순환로536,경기도 평택시 포승읍 원정리 1203-5번지,사용업,36.989765 ,126.839429 ,2025-02-07
평택시,한국산노프코㈜,경기도 평택시 서탄면 수월암4길175,경기도 평택시 서탄면 수월암리 250-2번지,사용업+ 제조업,37.133386 ,127.031678 ,2025-02-07
평택시,한국서부발전㈜평택발전본부,경기도 평택시 포승읍 남양만로175-2,경기도 평택시 포승읍 원정리 1-21번지,사용업,37.004215 ,126.792077 ,2025-02-07
평택시,한국알파라발주식회사,경기도 평택시 포승읍 평택항로268번길169,경기도 평택시 포승읍 도곡리 1216번지,판매업,36.983471 ,126.849173 ,2025-02-07
평택시,한국칼라디자인기술㈜,경기도 평택시 지산로175번길152,경기도 평택시 지산동 382-5번지,알선판매업,37.083753 ,127.080526 ,2025-02-07
평택시,한국쿠제주식회사,경기도 평택시 포승읍 포승공단순환로159,경기도 평택시 포승읍 내기리 680-24번지,사용업,36.971924 ,126.857209 ,2025-02-07
평택시,한국호야전자주식회사,경기도 평택시 청북읍 현곡산단로55,경기도 평택시 청북읍 현곡리 463-3번지,사용업,37.034982 ,126.943668 ,2025-02-07
평택시,한맥테코주식회사,경기도 평택시 포승읍 포승공단순환로614,경기도 평택시 포승읍 원정리 1204-3번지,사용업,36.986496 ,126.831335 ,2025-02-07
평택시,한맥하이텍주식회사,경기도 평택시 청북읍 고렴길135,경기도 평택시 청북읍 고렴리 930-2번지,사용업,37.060948 ,126.929074 ,2025-02-07
평택시,한미사이언스㈜,경기도 평택시 산단로106(모곡동),경기도 평택시 모곡동 440-1번지,사용업,37.036450 ,127.081242 ,2025-02-07
평택시,한미약품㈜평택공단,경기도 평택시 팽성읍 추팔산단로114,경기도 평택시 팽성읍 추팔리 395,사용업,36.956625 ,127.076227 ,2025-02-07
평택시,한수케미칼,경기도 평택시 평택로145(신대동),경기도 평택시 신대동 111-1번지,알선판매업,36.998193 ,127.079534 ,2025-02-07
평택시,한양잉크㈜,경기도 평택시 포승읍 평택항만길366,경기도 평택시 포승읍 원정리 1206-11번지,사용업+ 제조업,36.979964 ,126.836950 ,2025-02-07
평택시,한온시스템㈜,경기도 평택시 포승읍 하만호길32-1,경기도 평택시 포승읍 만호리 338-2번지,사용업,36.956508 ,126.854688 ,2025-02-07
평택시,한화이센셜 주식회사,경기도 평택시 포승읍 평택항로268번길142,경기도 평택시 포승읍 도곡리 1209-3,사용업,36.985099 ,126.850800 ,2025-02-07
평택시,현대상사,경기도 평택시 서정남로144,경기도 평택시 서정동 222번지,알선판매업,37.060450 ,127.055272 ,2025-02-07
평택시,형제상사,경기도 평택시 평택로180(세교동+1층105호),경기도 평택시 세교동 180-6번지 1층 105호,알선판매업,37.001046 ,127.077994 ,2025-02-07
평택시,혜솔 주식회사,경기도 평택시 서탄면 마두1길170-20,경기도 평택시 서탄면 마두리 21-13번지,알선판매업,37.111213 ,127.020044 ,2025-02-07
평택시,홍성상사,경기도 평택시 포승읍 평택항로184번길24(가동102호103호),경기도 평택시 포승읍 만호리 576-1번지 (가동102호103호),알선판매업,36.975733 ,126.844786 ,2025-02-07
평택시,홍원제지,경기도 평택시 진위면 진위서로23,경기도 평택시 진위면 하북리 37번지,사용업,37.109645 ,127.065846 ,2025-02-07
평택시,화승상사,경기도 평택시 지산로 246(지산동),경기도 평택시 지산동 228-24번지,알선판매업,37.077674 ,127.080948 ,2025-02-07
평택시,화인플라텍 주식회사,경기도 평택시 청북읍 청북산단로 84,경기도 평택시 청북읍 어연리 899-1번지,사용업,37.053953 ,126.978945 ,2025-02-07
평택시,후니산업,경기도 평택시 포승읍 포승장안로 321,,알선판매업,37.011318 ,126.887273 ,2025-02-07
